측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,-,-,-,-,16,18,22,20,31,39,25,28,31,26,26,28,27,33,27,29,16,22,20,19
[부산 강서구]대저동,9,10,12,12,12,19,16,24,28,27,30,31,32,27,28,27,33,27,29,21,21,15,17,15
[부산 강서구]명지동,15,13,16,15,16,18,16,22,24,29,33,28,30,26,25,27,31,35,29,27,21,22,17,20
[부산 금정구]청룡동,10,12,10,12,8,13,14,13,14,20,21,26,23,30,27,27,31,29,28,30,25,22,23,25
[부산 금정구]회동동,14,16,13,13,16,17,19,14,21,32,39,35,29,31,31,33,31,35,31,27,26,24,21,24
[부산 기장군]기장읍,9,13,16,11,14,15,16,14,22,27,30,28,26,24,24,26,30,33,27,25,24,23,20,20
[부산 기장군]용수리,14,11,11,15,19,20,14,23,24,29,32,29,35,32,29,31,33,32,33,19,20,22,26,28
[부산 남구]대연동,14,13,16,14,14,18,24,27,34,38,36,36,29,27,36,38,41,43,35,30,26,27,22,27
[부산 남구]용호동,19,22,17,15,20,19,26,21,21,26,21,22,23,25,22,26,26,28,33,30,26,24,21,24
[부산 동구]수정동,9,12,14,14,17,13,19,17,20,27,28,23,26,23,29,29,25,29,32,21,21,20,23,24
[부산 동래구]명장동,12,14,11,15,20,18,18,22,23,27,25,25,23,20,26,29,34,39,34,26,25,21,22,22
[부산 부산진구]개금동,17,10,12,14,16,18,20,22,16,28,32,32,24,30,24,35,34,37,34,25,17,23,27,28
[부산 부산진구]전포동,17,19,18,16,15,15,16,18,22,28,33,35,35,35,37,38,37,37,40,38,32,31,28,26
[부산 북구]덕천동,19,17,19,18,19,15,18,20,24,22,25,28,33,28,27,27,33,33,33,31,26,26,17,27
[부산 북구]화명동,16,12,10,14,14,14,16,21,20,26,29,33,32,33,29,31,36,34,34,30,27,21,27,24
[부산 사상구]덕포동,17,15,11,11,13,18,19,19,31,30,30,35,34,32,27,26,33,36,35,26,23,27,25,23
[부산 사상구]학장동,11,38,49,15,11,22,16,21,23,27,32,28,30,37,31,36,40,30,38,27,31,24,21,27
[부산 사하구]당리동,12,-,10,17,18,14,19,23,24,31,30,32,28,25,28,38,31,33,33,29,24,30,19,21
[부산 사하구]장림동,18,12,11,15,16,15,17,23,26,27,31,30,30,27,27,31,25,28,33,26,28,19,25,27
[부산 서구]대신동,10,10,13,13,22,20,19,22,25,28,35,33,31,27,32,33,38,33,32,26,21,21,24,25
[부산 수영구]광안동,11,13,13,15,15,18,18,23,25,28,27,25,24,22,25,27,35,35,31,29,27,22,22,22
[부산 연제구]연산동,11,13,11,9,14,13,13,12,20,32,37,27,32,29,27,35,28,36,41,29,30,27,21,22
[부산 영도구]청학동,9,11,11,18,11,21,17,20,22,26,26,25,26,29,28,33,23,30,26,27,24,22,21,20
[부산 영도구]태종대,16,18,19,16,15,19,20,18,25,23,29,24,25,30,29,23,30,24,28,23,20,25,19,24
[부산 중구]광복동,12,17,16,22,19,19,16,24,24,34,35,30,40,32,32,37,33,32,37,35,27,28,22,26
[부산 해운대구]재송동,-,-,-,-,-,-,-,-,-,-,-,-,27,21,27,25,30,28,28,28,21,24,20,22
[부산 해운대구]좌동,13,10,16,12,14,15,19,25,28,27,33,27,27,27,27,27,25,25,31,24,27,26,20,18
