측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대구 군위군]군위읍,95,102,96,79,73,47,45,45,55,53,61,56,51,42,44,36,41,41,39,33,30,33,31,38
[대구 남구]대명동,80,84,64,75,81,81,61,42,36,33,36,33,31,22,22,23,29,24,22,22,14,17,20,34
[대구 달서구]본동,86,78,78,77,92,95,63,46,45,41,40,34,36,29,29,27,28,28,31,28,20,20,27,36
[대구 달서구]진천동,57,61,69,73,90,94,66,51,42,45,38,34,30,27,35,29,29,25,29,36,23,22,24,36
[대구 달서구]호림동,64,77,87,89,105,101,73,54,48,51,47,45,34,31,32,27,32,34,36,36,29,26,35,47
[대구 달성군]다사읍,47,55,69,78,99,77,59,38,33,36,34,29,28,28,25,18,22,22,24,16,19,20,28,35
[대구 달성군]유가읍,74,82,83,74,78,102,82,61,40,31,33,26,-,-,-,20,23,20,22,27,26,23,23,30
[대구 달성군]화원읍,52,72,84,73,94,108,69,57,41,46,30,29,-,-,24,27,28,30,27,35,31,23,24,35
[대구 동구]서호동,80,78,84,66,72,74,55,38,39,41,40,31,33,29,30,30,27,28,30,24,19,20,20,20
[대구 동구]신암동,86,81,85,78,84,86,58,36,38,44,44,39,36,33,31,30,24,27,30,25,23,20,24,29
[대구 북구]산격동,89,77,74,72,91,83,58,33,35,42,35,39,28,28,24,27,27,25,35,29,25,17,24,27
[대구 북구]침산동,96,77,78,72,92,85,66,38,40,42,44,34,28,24,30,20,27,29,27,28,22,19,28,30
[대구 북구]태전동,95,80,84,87,102,86,62,34,38,43,48,37,34,34,34,31,31,31,29,24,26,24,35,35
[대구 서구]내당동,102,80,64,83,97,84,68,47,36,45,45,40,38,28,30,28,27,33,29,25,17,25,34,38
[대구 서구]이현동,81,70,68,79,86,88,63,47,39,42,40,40,31,30,33,27,27,28,28,25,18,23,30,33
[대구 수성구]만촌동,91,77,75,73,84,86,58,42,46,46,46,40,35,34,34,39,28,25,33,27,28,24,29,34
[대구 수성구]시지동,90,79,69,77,74,86,63,46,39,40,42,38,30,27,30,27,25,25,30,24,24,23,24,30
[대구 수성구]지산동,88,79,77,74,86,89,67,51,44,45,35,34,34,31,31,27,29,28,30,34,28,27,24,35
[대구 중구]남산1동,89,81,74,79,91,89,62,48,36,42,33,33,27,30,30,24,20,25,25,25,-,-,-,-
[대구 중구]수창동,83,70,68,69,75,75,53,35,30,38,34,29,27,29,33,27,25,20,28,27,27,24,20,28
