측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대전 대덕구]문평동,22,27,24,29,28,30,20,28,33,38,40,33,27,24,27,26,19,24,25,28,32,36,34,36
[대전 대덕구]읍내동,19,20,24,25,30,30,29,38,40,42,40,38,31,28,27,29,22,27,29,30,32,38,34,37
[대전 동구]대성동,15,17,22,18,19,22,24,23,24,23,25,28,32,25,20,21,20,19,14,23,26,26,29,32
[대전 동구]성남동1,18,26,26,25,26,26,30,28,31,26,36,35,29,25,-,-,-,27,22,32,31,31,39,32
[대전 서구]둔산동,21,15,24,23,20,22,27,24,36,29,30,10,32,22,13,17,32,25,11,27,29,28,32,36
[대전 서구]정림동,13,14,13,19,19,18,22,23,22,20,30,32,32,24,22,20,25,15,15,15,17,32,28,26
[대전 유성구]관평동,24,29,30,30,31,28,33,32,42,42,40,34,29,27,-,-,-,23,31,33,35,39,42,42
[대전 유성구]구성동,21,19,27,23,23,24,25,18,25,26,-,-,-,25,23,19,14,18,13,21,26,27,29,33
[대전 유성구]노은동,19,23,21,25,22,24,24,29,35,49,41,23,16,22,22,20,14,19,16,18,19,30,31,32
[대전 유성구]상대동(대전),14,17,21,27,21,23,27,27,29,37,34,24,16,20,20,12,14,16,17,18,18,23,32,35
[대전 중구]문창동,24,27,30,32,31,29,26,25,31,34,39,39,32,22,27,26,24,20,23,31,36,35,40,41
