측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[광주 광산구]오선동,28,24,29,26,21,27,26,28,30,29,30,27,22,23,-,24,24,24,25,18,20,15,16,17
[광주 광산구]우산동(광주),23,22,23,22,27,13,26,19,28,27,27,27,21,17,18,21,25,26,22,17,20,15,16,20
[광주 광산구]평동,25,29,21,25,29,24,22,23,26,31,28,19,21,20,21,21,25,20,17,13,18,21,18,18
[광주 남구]노대동,19,23,21,23,21,18,22,16,20,18,23,18,20,18,19,17,17,15,22,23,15,19,17,13
[광주 남구]주월동,24,23,24,23,18,25,21,20,22,19,19,24,24,18,19,19,19,21,22,24,20,18,15,17
[광주 동구]서석동,15,15,17,17,14,19,18,14,19,17,16,19,21,16,20,21,18,18,19,20,19,15,13,13
[광주 북구]건국동,20,16,17,16,16,12,14,12,12,16,11,16,16,14,15,20,22,24,20,19,10,10,10,9
[광주 북구]두암동,16,17,25,21,16,21,21,19,18,16,22,20,15,14,13,13,15,18,21,21,27,25,21,11
[광주 북구]일곡동,19,23,22,20,20,22,19,23,19,13,23,16,21,20,17,20,17,21,22,19,20,15,14,13
[광주 서구]농성동,13,21,20,18,14,17,21,16,16,15,17,17,14,13,18,20,15,16,19,21,13,14,13,14
[광주 서구]유촌동,20,38,19,25,20,22,21,26,23,27,29,22,22,25,18,19,16,27,27,20,15,12,15,15
