측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[광주 광산구]오선동,16,15,14,16,18,16,16,14,18,13,17,19,12,15,12,16,15,19,20,17,19,18,19,20
[광주 광산구]우산동(광주),15,17,18,14,11,16,15,20,17,17,16,16,14,13,13,12,16,16,16,19,16,18,24,19
[광주 광산구]평동,17,17,17,15,19,18,12,13,16,14,15,13,14,19,11,17,14,18,16,17,22,20,19,17
[광주 남구]노대동,11,12,13,15,14,13,16,18,14,12,14,11,11,11,12,15,14,15,20,16,18,18,22,19
[광주 남구]주월동,13,12,14,14,14,17,17,14,16,19,16,16,16,17,17,16,18,18,18,20,25,19,19,18
[광주 동구]서석동,12,11,11,7,9,13,13,12,13,12,15,12,10,18,16,14,10,14,20,20,16,15,20,18
[광주 북구]건국동,9,7,7,6,8,9,8,10,14,10,8,7,4,5,6,6,9,11,10,12,12,15,13,14
[광주 북구]두암동,16,11,9,12,9,8,13,13,13,11,12,9,12,10,13,17,11,10,12,18,25,20,15,22
[광주 북구]일곡동,14,14,12,15,12,13,14,16,14,15,14,11,11,9,11,12,15,16,13,13,14,18,12,18
[광주 서구]농성동,15,10,14,12,13,14,12,10,11,11,12,10,14,8,13,11,13,11,14,17,12,18,12,17
[광주 서구]유촌동,17,15,13,14,13,16,17,16,14,16,14,14,13,13,14,11,17,18,19,21,22,20,15,17
