측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[인천 계양구]계산,45,46,42,48,49,49,50,52,49,53,52,46,43,42,41,31,38,36,41,33,42,41,36,30
[인천 계양구]효성,38,39,39,40,40,39,44,44,42,45,55,34,31,31,31,29,34,28,35,35,37,38,31,26
[인천 남동구]고잔,41,42,43,45,44,38,41,42,49,53,61,53,49,34,32,35,34,34,36,40,40,40,38,31
[인천 남동구]구월동,40,42,39,39,39,40,42,41,42,49,57,54,41,45,34,35,32,30,33,29,41,39,41,42
[인천 남동구]논현,37,38,36,35,33,35,36,38,44,43,55,61,48,38,34,32,31,34,37,41,38,39,36,25
[인천 남동구]서창,40,38,37,38,36,36,41,42,44,41,52,52,39,39,34,32,33,37,34,37,39,44,45,39
[인천 동구]송림,48,44,46,47,42,46,50,48,50,53,61,51,46,32,35,33,33,36,41,38,44,44,34,31
[인천 미추홀구]숭의,36,36,37,42,41,44,45,47,49,47,54,56,49,37,35,29,34,34,33,38,39,36,32,29
[인천 미추홀구]주안,40,39,37,43,41,43,46,47,49,52,54,49,40,40,36,33,33,32,33,37,41,32,32,30
[인천 부평구]부평,46,50,47,49,46,47,51,51,49,57,53,38,41,37,37,44,39,40,43,57,62,42,34,34
[인천 부평구]삼산,39,38,38,34,31,31,34,36,36,39,38,33,26,27,23,29,29,29,30,34,38,31,27,25
[인천 서구]검단,46,45,49,49,49,44,44,46,48,49,53,48,46,45,43,38,42,40,44,46,44,46,39,41
[인천 서구]석남,36,36,37,39,40,40,40,42,47,50,44,45,42,29,32,34,30,31,39,57,40,38,31,33
[인천 서구]연희,37,39,40,40,41,39,42,42,43,40,42,45,44,39,35,33,32,34,34,32,39,37,36,37
[인천 서구]원당,46,42,46,45,45,46,46,41,42,43,45,47,44,40,39,33,39,41,39,38,40,43,37,35
[인천 서구]청라,52,47,49,48,44,49,49,56,52,50,66,52,49,41,36,38,37,33,40,41,40,41,42,41
[인천 연수구]동춘,31,35,35,36,35,32,34,40,38,42,49,42,33,29,29,26,27,29,32,34,30,27,22,20
[인천 연수구]송도,38,38,38,38,39,34,34,40,43,50,56,49,39,35,40,31,32,33,35,39,37,33,24,20
[인천 연수구]아암,36,39,40,40,37,38,43,43,45,56,73,56,47,41,42,37,39,36,40,42,40,36,28,26
[인천 옹진군]영흥,35,38,38,36,41,42,41,38,43,46,47,37,36,33,38,31,29,33,28,33,37,31,22,22
[인천 중구]신흥,38,35,34,39,37,41,42,43,45,47,47,43,36,33,34,32,36,32,32,37,34,34,32,29
[인천 중구]영종,44,42,39,41,40,43,41,41,40,42,51,48,41,32,34,34,31,34,32,34,35,33,29,25
[인천 중구]운서,40,39,39,41,40,44,43,44,47,43,44,40,37,32,33,35,35,37,38,38,33,23,21,20
