측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[서울 강남구]강남구,63,62,62,58,61,59,63,57,60,57,54,51,52,54,56,53,49,50,44,37,36,32,32,29
[서울 강동구]강동구,72,68,74,68,72,68,67,63,71,72,70,64,63,65,62,53,56,49,50,45,41,40,43,35
[서울 강북구]강북구,58,56,61,58,61,61,62,62,78,78,76,61,55,51,51,48,45,47,44,35,34,32,30,28
[서울 강서구]강서구,69,65,68,62,62,60,56,60,55,55,52,62,56,65,57,54,48,49,42,40,35,38,37,38
[서울 관악구]관악구,63,59,62,58,59,57,57,55,55,55,61,60,63,61,60,55,56,48,46,41,41,33,35,29
[서울 광진구]광진구,67,64,64,60,62,60,60,62,105,88,73,55,56,60,60,55,52,49,49,42,42,33,36,34
[서울 구로구]구로구,69,67,63,64,61,63,64,62,63,68,69,69,71,99,84,70,60,52,46,40,41,39,32,33
[서울 금천구]금천구,62,61,58,60,59,56,53,60,54,54,53,61,70,72,81,64,52,47,44,34,37,32,25,27
[서울 노원구]노원구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,60,50,50,49,44,40,33,33,29
[서울 도봉구]도봉구,69,63,60,60,60,62,59,63,61,64,59,63,62,61,62,53,48,45,39,33,30,32,32,28
[서울 동대문구]동대문구,67,66,70,65,66,62,64,61,61,65,63,60,59,58,54,51,49,46,39,34,35,28,28,27
[서울 동작구]동작구,63,57,58,56,60,56,58,56,56,55,54,54,59,56,56,49,47,41,37,32,32,29,29,26
[서울 마포구]마포구,71,62,67,60,66,59,61,58,65,61,58,57,60,60,60,55,53,46,43,40,38,38,34,30
[서울 서대문구]서대문구,53,53,49,50,50,51,54,54,52,53,55,53,56,59,69,57,48,40,39,35,31,30,28,27
[서울 서초구]서초구,62,63,64,61,62,63,60,67,90,83,71,75,66,65,78,74,55,63,54,38,37,27,29,31
[서울 성동구]성동구,67,64,65,60,63,60,62,62,69,63,63,58,61,57,57,55,50,48,43,36,34,32,30,27
[서울 성북구]성북구,63,57,55,57,50,55,57,64,66,66,63,64,60,63,67,62,52,49,46,39,37,33,29,28
[서울 송파구]송파구,70,67,68,61,65,64,67,59,60,58,59,57,60,61,61,56,51,50,48,44,40,35,33,36
[서울 양천구]양천구,68,66,67,64,67,61,61,60,62,57,57,54,59,60,60,52,50,43,43,37,36,34,-,-
[서울 영등포구]영등포구,67,66,59,58,61,58,54,53,53,50,52,50,52,54,56,50,47,46,40,35,32,32,33,26
[서울 용산구]용산구,61,60,63,58,60,59,60,57,67,77,79,66,79,64,58,68,55,44,49,44,43,37,36,32
[서울 은평구]은평구,62,60,62,58,58,60,59,60,62,61,59,60,67,75,69,69,56,49,40,41,43,38,30,34
[서울 종로구]종로구,65,63,62,59,61,59,59,60,59,59,60,55,61,54,55,58,57,48,40,37,35,30,27,25
[서울 중구]중구,62,59,64,61,64,59,64,62,66,73,88,60,56,60,67,60,56,47,45,37,34,33,32,29
[서울 중랑구]중랑구,63,62,61,61,61,59,60,61,60,60,55,49,54,56,50,47,47,48,41,39,37,33,26,27
