model,Data,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
Linear Regression t+1,PM10,2.998830115709736,3.0793319639189924,8.109483655050859,7.747925786079122,0.9067966589303345,0.9021374032985504
Linear Regression t+3,PM10,8.052051928327382,8.457580657352214,19.437178574319056,18.90946730469031,0.46548299992125475,0.48508109350804957
Linear Regression t+1,PM10 and Weather,3.026578122446234,3.1264217517385937,8.130493548444612,7.781901140916851,0.9066928058909935,0.9021491639447448
Linear Regression t+3,PM10 and Weather,8.121418715956988,8.64050451656269,19.4297366879882,19.020614363427086,0.46802471733149875,0.4797331081535782
Random Forest t+1,PM10,2.2947262792850354,2.9558621085374948,6.4811473935225425,8.700020461560118,0.9368399984860998,0.8788837561898669
Random Forest t+3,PM10,5.818431800156257,6.918308346499069,15.361151848808408,16.367166178107038,0.6661400348708925,0.6148744033954435
Random Forest t+1,PM10 and Weather,2.2960145454002063,3.0284047862493337,6.806380212808894,8.956521503174391,0.9221281642464719,0.8744513321891318
Random Forest t+3,PM10 and Weather,4.99049128350459,7.0236241166954585,14.296802900945291,16.285223435342502,0.7111576314172696,0.62338462623344
XGBoost t+1,PM10,2.796985418127277,3.3061715786227808,7.360122367872071,10.067107473763985,0.9226854597430172,0.8500040418076329
XGBoost t+3,PM10,6.416192531687829,7.154794579310822,15.565465836174653,16.338370181360922,0.6572946891905538,0.6138455534325494
XGBoost t+1,PM10 and Weather,2.334399012946573,3.25509301600138,4.154917567678975,8.726828896444614,0.9750948098443628,0.8802119450178489
XGBoost t+3    ,PM10 and Weather,6.610946779356037,7.437387641749086,15.529368224941354,16.455232713947826,0.6592219371706223,0.6147736340702064
